period,stateid,stateDescription,sectorid,sectorName,customers,customers-units
2024-07,CA,California,COM,commercial,1800737,number of customers
2024-07,CA,California,ALL,all sectors,16331151,number of customers
2024-07,AR,Arkansas,TRA,transportation,2,number of customers
2024-07,AR,Arkansas,RES,residential,1485484,number of customers
2024-07,AR,Arkansas,OTH,other,,number of customers
2024-07,AR,Arkansas,IND,industrial,41799,number of customers
2024-07,AR,Arkansas,COM,commercial,210389,number of customers
2024-07,AR,Arkansas,ALL,all sectors,1737674,number of customers
2024-07,AZ,Arizona,TRA,transportation,2,number of customers
2024-07,AZ,Arizona,RES,residential,3093942,number of customers
2024-07,AZ,Arizona,OTH,other,,number of customers
2024-07,AZ,Arizona,IND,industrial,7125,number of customers
2024-07,AZ,Arizona,COM,commercial,344939,number of customers
2024-07,AZ,Arizona,ALL,all sectors,3446008,number of customers
2024-07,AK,Alaska,TRA,transportation,0,number of customers
2024-07,AK,Alaska,RES,residential,300496,number of customers
2024-07,AK,Alaska,OTH,other,,number of customers
2024-07,AK,Alaska,IND,industrial,1217,number of customers
2024-07,AK,Alaska,COM,commercial,57791,number of customers
2024-07,AK,Alaska,ALL,all sectors,359504,number of customers
2024-07,AL,Alabama,TRA,transportation,0,number of customers
2024-07,AL,Alabama,RES,residential,2407299,number of customers
2024-07,AL,Alabama,OTH,other,,number of customers
2024-07,AL,Alabama,IND,industrial,7250,number of customers
2024-07,AL,Alabama,COM,commercial,387682,number of customers
2024-07,AL,Alabama,ALL,all sectors,2802231,number of customers
2024-07,US,U.S. Total,TRA,transportation,83,number of customers
2024-07,US,U.S. Total,RES,residential,143141929,number of customers
2024-07,US,U.S. Total,OTH,other,,number of customers
2024-07,US,U.S. Total,IND,industrial,1139157,number of customers
2024-07,US,U.S. Total,COM,commercial,19530525,number of customers
2024-07,US,U.S. Total,ALL,all sectors,163811694,number of customers
2024-07,PACN,Pacific Noncontiguous,TRA,transportation,0,number of customers
2024-07,PACN,Pacific Noncontiguous,RES,residential,746817,number of customers
2024-07,PACN,Pacific Noncontiguous,OTH,other,,number of customers
2024-07,PACN,Pacific Noncontiguous,IND,industrial,2033,number of customers
2024-07,PACN,Pacific Noncontiguous,COM,commercial,117310,number of customers
2024-07,PACN,Pacific Noncontiguous,ALL,all sectors,866160,number of customers
2024-07,PACC,Pacific Contiguous,TRA,transportation,20,number of customers
2024-07,PACC,Pacific Contiguous,RES,residential,19626871,number of customers
2024-07,PACC,Pacific Contiguous,OTH,other,,number of customers
2024-07,PACC,Pacific Contiguous,IND,industrial,205363,number of customers
2024-07,PACC,Pacific Contiguous,COM,commercial,2463900,number of customers
2024-07,PACC,Pacific Contiguous,ALL,all sectors,22296154,number of customers
2024-07,MTN,Mountain,TRA,transportation,5,number of customers
2024-07,MTN,Mountain,RES,residential,10761247,number of customers
2024-07,MTN,Mountain,OTH,other,,number of customers
2024-07,MTN,Mountain,IND,industrial,103803,number of customers
2024-07,MTN,Mountain,COM,commercial,1512005,number of customers
2024-07,MTN,Mountain,ALL,all sectors,12377060,number of customers
2024-07,WSC,West South Central,TRA,transportation,6,number of customers
2024-07,WSC,West South Central,RES,residential,18071254,number of customers
2024-07,WSC,West South Central,OTH,other,,number of customers
2024-07,WSC,West South Central,IND,industrial,464175,number of customers
2024-07,WSC,West South Central,COM,commercial,2442300,number of customers
2024-07,WSC,West South Central,ALL,all sectors,20977735,number of customers
2024-07,ESC,East South Central,TRA,transportation,0,number of customers
2024-07,ESC,East South Central,RES,residential,8931144,number of customers
2024-07,ESC,East South Central,OTH,other,,number of customers
2024-07,ESC,East South Central,IND,industrial,24953,number of customers
2024-07,ESC,East South Central,COM,commercial,1486115,number of customers
2024-07,ESC,East South Central,ALL,all sectors,10442212,number of customers
2024-07,SAT,South Atlantic,TRA,transportation,13,number of customers
2024-07,SAT,South Atlantic,RES,residential,30702980,number of customers
2024-07,SAT,South Atlantic,OTH,other,,number of customers
2024-07,SAT,South Atlantic,IND,industrial,89359,number of customers
2024-07,SAT,South Atlantic,COM,commercial,4029670,number of customers
2024-07,SAT,South Atlantic,ALL,all sectors,34822022,number of customers
2024-07,WNC,West North Central,TRA,transportation,3,number of customers
2024-07,WNC,West North Central,RES,residential,10066132,number of customers
2024-07,WNC,West North Central,OTH,other,,number of customers
2024-07,WNC,West North Central,IND,industrial,132448,number of customers
2024-07,WNC,West North Central,COM,commercial,1518265,number of customers
2024-07,WNC,West North Central,ALL,all sectors,11716848,number of customers
2024-07,ENC,East North Central,TRA,transportation,10,number of customers
2024-07,ENC,East North Central,RES,residential,20871035,number of customers
2024-07,ENC,East North Central,OTH,other,,number of customers
2024-07,ENC,East North Central,IND,industrial,53724,number of customers
2024-07,ENC,East North Central,COM,commercial,2572584,number of customers
2024-07,ENC,East North Central,ALL,all sectors,23497353,number of customers
2024-07,MAT,Middle Atlantic,TRA,transportation,20,number of customers
2024-07,MAT,Middle Atlantic,RES,residential,16674551,number of customers
2024-07,MAT,Middle Atlantic,OTH,other,,number of customers
2024-07,MAT,Middle Atlantic,IND,industrial,39350,number of customers
2024-07,MAT,Middle Atlantic,COM,commercial,2442879,number of customers
2024-07,MAT,Middle Atlantic,ALL,all sectors,19156800,number of customers
2024-07,NEW,New England,TRA,transportation,6,number of customers
2024-07,NEW,New England,RES,residential,6689898,number of customers
2024-07,NEW,New England,OTH,other,,number of customers
2024-07,NEW,New England,IND,industrial,23949,number of customers
2024-07,NEW,New England,COM,commercial,945497,number of customers
2024-07,NEW,New England,ALL,all sectors,7659350,number of customers
2024-07,WY,Wyoming,TRA,transportation,0,number of customers
2024-07,WY,Wyoming,RES,residential,287390,number of customers
2024-07,WY,Wyoming,OTH,other,,number of customers
2024-07,WY,Wyoming,IND,industrial,11994,number of customers
2024-07,WY,Wyoming,COM,commercial,59497,number of customers
2024-07,WY,Wyoming,ALL,all sectors,358881,number of customers
2024-07,WI,Wisconsin,TRA,transportation,2,number of customers
2024-07,WI,Wisconsin,RES,residential,2848456,number of customers
2024-07,WI,Wisconsin,OTH,other,,number of customers
2024-07,WI,Wisconsin,IND,industrial,5686,number of customers
2024-07,WI,Wisconsin,COM,commercial,369631,number of customers
2024-07,WI,Wisconsin,ALL,all sectors,3223775,number of customers
2024-07,WV,West Virginia,TRA,transportation,0,number of customers
2024-07,WV,West Virginia,RES,residential,864998,number of customers
2024-07,WV,West Virginia,OTH,other,,number of customers
2024-06,AL,Alabama,ALL,all sectors,2790505,number of customers
2024-06,OK,Oklahoma,COM,commercial,305341,number of customers
2024-06,OK,Oklahoma,ALL,all sectors,2217025,number of customers
2024-06,OH,Ohio,TRA,transportation,2,number of customers
2024-06,OH,Ohio,RES,residential,5112411,number of customers
2024-06,OH,Ohio,OTH,other,,number of customers
2024-06,OH,Ohio,IND,industrial,18309,number of customers
2024-06,OH,Ohio,COM,commercial,627627,number of customers
2024-06,OH,Ohio,ALL,all sectors,5758349,number of customers
2024-06,ND,North Dakota,TRA,transportation,0,number of customers
2024-06,ND,North Dakota,RES,residential,397716,number of customers
2024-06,ND,North Dakota,OTH,other,,number of customers
2024-06,ND,North Dakota,IND,industrial,9473,number of customers
2024-06,ND,North Dakota,COM,commercial,77726,number of customers
2024-06,ND,North Dakota,ALL,all sectors,484915,number of customers
2024-06,NC,North Carolina,TRA,transportation,1,number of customers
